Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
68,"9/10/20, 5:01:49 PM",51 ft,0:00:02,17 mph,857 ft,234° true,N42° 16.229' W83° 43.798',87.8 °F,84
69,"9/10/20, 5:01:51 PM",166 ft,0:00:06,19 mph,857 ft,230° true,N42° 16.224' W83° 43.807',87.8 °F,87
70,"9/10/20, 5:01:57 PM",54 ft,0:00:02,18 mph,856 ft,237° true,N42° 16.207' W83° 43.835',87.8 °F,88
71,"9/10/20, 5:01:59 PM",57 ft,0:00:02,19 mph,856 ft,255° true,N42° 16.202' W83° 43.845',87.8 °F,88
72,"9/10/20, 5:02:01 PM",27 ft,0:00:01,19 mph,855 ft,264° true,N42° 16.200' W83° 43.857',87.8 °F,90
73,"9/10/20, 5:02:02 PM",48 ft,0:00:02,16 mph,855 ft,269° true,N42° 16.199' W83° 43.864',87.8 °F,86
74,"9/10/20, 5:02:04 PM",15 ft,0:00:01,10 mph,854 ft,271° true,N42° 16.199' W83° 43.874',87.8 °F,83
75,"9/10/20, 5:02:05 PM",19 ft,0:00:03,4.4 mph,853 ft,278° true,N42° 16.199' W83° 43.878',87.8 °F,82
76,"9/10/20, 5:02:08 PM",18 ft,0:00:02,6 mph,852 ft,245° true,N42° 16.200' W83° 43.882',87.8 °F,83
77,"9/10/20, 5:02:10 PM",14 ft,0:00:01,9 mph,852 ft,210° true,N42° 16.198' W83° 43.885',87.8 °F,84
78,"9/10/20, 5:02:11 PM",16 ft,0:00:01,11 mph,852 ft,198° true,N42° 16.196' W83° 43.887',87.8 °F,84
79,"9/10/20, 5:02:12 PM",43 ft,0:00:02,15 mph,852 ft,187° true,N42° 16.194' W83° 43.888',87.8 °F,85
80,"9/10/20, 5:02:14 PM",25 ft,0:00:01,17 mph,853 ft,181° true,N42° 16.187' W83° 43.889',87.8 °F,86
81,"9/10/20, 5:02:15 PM",92 ft,0:00:04,16 mph,853 ft,184° true,N42° 16.183' W83° 43.889',87.8 °F,86
82,"9/10/20, 5:02:19 PM",25 ft,0:00:01,17 mph,854 ft,176° true,N42° 16.168' W83° 43.891',87.8 °F,89
83,"9/10/20, 5:02:20 PM",25 ft,0:00:01,17 mph,854 ft,178° true,N42° 16.164' W83° 43.890',87.8 °F,83
84,"9/10/20, 5:02:21 PM",105 ft,0:00:04,18 mph,854 ft,178° true,N42° 16.160' W83° 43.890',87.8 °F,80
85,"9/10/20, 5:02:25 PM",33 ft,0:00:02,11 mph,854 ft,185° true,N42° 16.142' W83° 43.889',87.8 °F,78
86,"9/10/20, 5:02:27 PM",20 ft,0:00:03,4.5 mph,854 ft,181° true,N42° 16.137' W83° 43.890',87.8 °F,78
87,"9/10/20, 5:02:30 PM",49 ft,0:00:03,11 mph,853 ft,175° true,N42° 16.134' W83° 43.890',87.8 °F,75
88,"9/10/20, 5:02:33 PM",22 ft,0:00:01,15 mph,853 ft,180° true,N42° 16.126' W83° 43.889',87.8 °F,74
89,"9/10/20, 5:02:34 PM",83 ft,0:00:03,19 mph,853 ft,180° true,N42° 16.122' W83° 43.889',87.8 °F,73
90,"9/10/20, 5:02:37 PM",192 ft,0:00:06,22 mph,853 ft,181° true,N42° 16.108' W83° 43.889',87.8 °F,75
91,"9/10/20, 5:02:43 PM",34 ft,0:00:01,23 mph,854 ft,181° true,N42° 16.077' W83° 43.890',87.8 °F,74
92,"9/10/20, 5:02:44 PM",69 ft,0:00:02,23 mph,854 ft,178° true,N42° 16.071' W83° 43.890',87.8 °F,77
93,"9/10/20, 5:02:46 PM",67 ft,0:00:02,23 mph,853 ft,178° true,N42° 16.060' W83° 43.889',87.8 °F,81
94,"9/10/20, 5:02:48 PM",32 ft,0:00:01,22 mph,852 ft,180° true,N42° 16.049' W83° 43.889',87.8 °F,85
95,"9/10/20, 5:02:49 PM",32 ft,0:00:01,21 mph,851 ft,180° true,N42° 16.044' W83° 43.889',87.8 °F,82
96,"9/10/20, 5:02:50 PM",30 ft,0:00:01,20 mph,850 ft,181° true,N42° 16.039' W83° 43.889',87.8 °F,81
97,"9/10/20, 5:02:51 PM",67 ft,0:00:03,15 mph,850 ft,177° true,N42° 16.034' W83° 43.889',87.8 °F,80
98,"9/10/20, 5:02:54 PM",16 ft,0:00:03,3.7 mph,843 ft,180° true,N42° 16.023' W83° 43.888',87.8 °F,82
99,"9/10/20, 5:02:57 PM",21 ft,0:00:02,7 mph,843 ft,156° true,N42° 16.020' W83° 43.888',87.8 °F,82
100,"9/10/20, 5:02:59 PM",17 ft,0:00:01,11 mph,843 ft,129° true,N42° 16.017' W83° 43.886',87.8 °F,83
101,"9/10/20, 5:03:00 PM",19 ft,0:00:01,13 mph,843 ft,117° true,N42° 16.015' W83° 43.883',87.8 °F,82
102,"9/10/20, 5:03:01 PM",50 ft,0:00:02,17 mph,843 ft,92° true,N42° 16.014' W83° 43.879',87.8 °F,82
103,"9/10/20, 5:03:03 PM",147 ft,0:00:05,20 mph,844 ft,88° true,N42° 16.014' W83° 43.868',87.8 °F,82
104,"9/10/20, 5:03:08 PM",35 ft,0:00:03,8 mph,845 ft,85° true,N42° 16.014' W83° 43.836',87.8 °F,83
105,"9/10/20, 5:03:11 PM",15 ft,0:00:02,5 mph,844 ft,86° true,N42° 16.015' W83° 43.828',87.8 °F,81
106,"9/10/20, 5:03:13 PM",30 ft,0:00:02,10 mph,846 ft,87° true,N42° 16.015' W83° 43.825',87.8 °F,80
107,"9/10/20, 5:03:15 PM",89 ft,0:00:04,15 mph,845 ft,88° true,N42° 16.015' W83° 43.818',87.8 °F,81
108,"9/10/20, 5:03:19 PM",17 ft,0:00:03,4.0 mph,848 ft,98° true,N42° 16.016' W83° 43.798',87.8 °F,83
109,"9/10/20, 5:03:22 PM",32 ft,0:00:03,7 mph,850 ft,88° true,N42° 16.015' W83° 43.795',87.8 °F,84
110,"9/10/20, 5:03:25 PM",79 ft,0:00:03,18 mph,850 ft,88° true,N42° 16.016' W83° 43.788',87.8 °F,84
111,"9/10/20, 5:03:28 PM",143 ft,0:00:04,24 mph,852 ft,89° true,N42° 16.016' W83° 43.770',87.8 °F,85
112,"9/10/20, 5:03:32 PM",38 ft,0:00:01,26 mph,854 ft,94° true,N42° 16.017' W83° 43.738',87.8 °F,85
113,"9/10/20, 5:03:33 PM",171 ft,0:00:05,23 mph,854 ft,91° true,N42° 16.016' W83° 43.730',87.8 °F,85
114,"9/10/20, 5:03:38 PM",33 ft,0:00:01,23 mph,857 ft,88° true,N42° 16.016' W83° 43.692',87.8 °F,85
115,"9/10/20, 5:03:39 PM",154 ft,0:00:05,21 mph,857 ft,87° true,N42° 16.016' W83° 43.684',87.8 °F,85
116,"9/10/20, 5:03:44 PM",19 ft,0:00:01,13 mph,857 ft,90° true,N42° 16.017' W83° 43.650',87.8 °F,86
117,"9/10/20, 5:03:45 PM",26 ft,0:00:02,9 mph,856 ft,74° true,N42° 16.017' W83° 43.646',87.8 °F,87
118,"9/10/20, 5:03:47 PM",11 ft,0:00:02,3.8 mph,855 ft,98° true,N42° 16.018' W83° 43.641',87.8 °F,87
119,"9/10/20, 5:03:49 PM",18 ft,0:00:02,6 mph,854 ft,102° true,N42° 16.018' W83° 43.638',87.8 °F,85
120,"9/10/20, 5:03:51 PM",14 ft,0:00:01,9 mph,854 ft,75° true,N42° 16.017' W83° 43.634',87.8 °F,84
121,"9/10/20, 5:03:52 PM",36 ft,0:00:02,12 mph,854 ft,37° true,N42° 16.018' W83° 43.631',87.8 °F,84
122,"9/10/20, 5:03:54 PM",46 ft,0:00:02,16 mph,855 ft,2° true,N42° 16.023' W83° 43.626',87.8 °F,84
123,"9/10/20, 5:03:56 PM",32 ft,0:00:01,22 mph,856 ft,359° true,N42° 16.030' W83° 43.626',87.8 °F,82
124,"9/10/20, 5:03:57 PM",179 ft,0:00:05,24 mph,857 ft,0° true,N42° 16.036' W83° 43.626',87.8 °F,82
125,"9/10/20, 5:04:02 PM",60 ft,0:00:03,14 mph,859 ft,1° true,N42° 16.065' W83° 43.626',87.8 °F,86
126,"9/10/20, 5:04:05 PM",15 ft,0:00:03,3.3 mph,858 ft,344° true,N42° 16.075' W83° 43.626',87.8 °F,83
127,"9/10/20, 5:04:08 PM",11 ft,0:00:01,7 mph,860 ft,358° true,N42° 16.077' W83° 43.626',87.8 °F,83
128,"9/10/20, 5:04:09 PM",35 ft,0:00:02,12 mph,860 ft,356° true,N42° 16.079' W83° 43.627',87.8 °F,83
129,"9/10/20, 5:04:11 PM",79 ft,0:00:03,18 mph,861 ft,358° true,N42° 16.085' W83° 43.627',87.8 °F,83
130,"9/10/20, 5:04:14 PM",32 ft,0:00:01,22 mph,862 ft,358° true,N42° 16.098' W83° 43.628',87.8 °F,87
131,"9/10/20, 5:04:15 PM",34 ft,0:00:01,23 mph,863 ft,359° true,N42° 16.103' W83° 43.628',87.8 °F,87
